source_name,name_en,name_ne,license,update_frequency,access_method,documentation_url
World Bank,World Development Indicators,,CC BY 4.0,annual,api,https://datatopics.worldbank.org/world-development-indicators/
Nepal Rastra Bank,Banking and Financial Statistics (Monthly),,,monthly,file,https://www.nrb.org.np/category/monthly-statistics/?department=bfr
National Statistics Office,National Population and Housing Census 2021,,,decennial,api,https://censusresults.nsonepal.gov.np
World Bank,Nepal Fiscal Dashboard,,"Cite as ""Nepal Fiscal Dashboard (World Bank, 2026)."" No licence stated by the publisher, who supplied this citation instead when asked about reuse terms (email, 2026-08-09).",annual,scrape,https://www.worldbank.org/en/data/interactive/2026/02/10/nepal-fiscal-dashboard
