code,name_en,definition_en,unit_code,topic,source_concept
CENSUS_HHLD01_ROWTOTAL,Ownership Of House: rowtotal (Census 2021),"Source column rowtotal from Hhld01_OwnershipOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,population,Hhld01_OwnershipOfHouse:rowtotal
CENSUS_HHLD01_A_OWN,Ownership Of House: a_Own (Census 2021),"Source column a_Own from Hhld01_OwnershipOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,population,Hhld01_OwnershipOfHouse:a_Own
CENSUS_HHLD01_B_RENTED,Ownership Of House: b_Rented (Census 2021),"Source column b_Rented from Hhld01_OwnershipOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,population,Hhld01_OwnershipOfHouse:b_Rented
CENSUS_HHLD01_C_INSTITUTNL,Ownership Of House: c_Institutnl (Census 2021),"Source column c_Institutnl from Hhld01_OwnershipOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,population,Hhld01_OwnershipOfHouse:c_Institutnl
CENSUS_HHLD01_D_OTHER,Ownership Of House: d_Other (Census 2021),"Source column d_Other from Hhld01_OwnershipOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,population,Hhld01_OwnershipOfHouse:d_Other
CENSUS_HHLD02_ROWTOTAL,Foundation Of House: rowtotal (Census 2021),"Source column rowtotal from Hhld02_FoundationOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld02_FoundationOfHouse:rowtotal
CENSUS_HHLD02_A_MUDBONDBRICK,Foundation Of House: a_MudBondBrick (Census 2021),"Source column a_MudBondBrick from Hhld02_FoundationOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld02_FoundationOfHouse:a_MudBondBrick
CENSUS_HHLD02_B_CMNTBONDBRICK,Foundation Of House: b_CmntBondBrick (Census 2021),"Source column b_CmntBondBrick from Hhld02_FoundationOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld02_FoundationOfHouse:b_CmntBondBrick
CENSUS_HHLD02_C_RCC,Foundation Of House: c_RCC (Census 2021),"Source column c_RCC from Hhld02_FoundationOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld02_FoundationOfHouse:c_RCC
CENSUS_HHLD02_D_WOODPILLAR,Foundation Of House: d_WoodPillar (Census 2021),"Source column d_WoodPillar from Hhld02_FoundationOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld02_FoundationOfHouse:d_WoodPillar
CENSUS_HHLD02_E_OTHER,Foundation Of House: e_Other (Census 2021),"Source column e_Other from Hhld02_FoundationOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld02_FoundationOfHouse:e_Other
CENSUS_HHLD03_ROWTOTAL,Outerwall Of House: rowtotal (Census 2021),"Source column rowtotal from Hhld03_OuterwallOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld03_OuterwallOfHouse:rowtotal
CENSUS_HHLD03_A_MUDBONDBRICK,Outerwall Of House: a_MudBondBrick (Census 2021),"Source column a_MudBondBrick from Hhld03_OuterwallOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld03_OuterwallOfHouse:a_MudBondBrick
CENSUS_HHLD03_B_CMNTBONDBRICK,Outerwall Of House: b_CmntBondBrick (Census 2021),"Source column b_CmntBondBrick from Hhld03_OuterwallOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld03_OuterwallOfHouse:b_CmntBondBrick
CENSUS_HHLD03_C_WOOD,Outerwall Of House: c_Wood (Census 2021),"Source column c_Wood from Hhld03_OuterwallOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld03_OuterwallOfHouse:c_Wood
CENSUS_HHLD03_D_BAMBOO,Outerwall Of House: d_Bamboo (Census 2021),"Source column d_Bamboo from Hhld03_OuterwallOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld03_OuterwallOfHouse:d_Bamboo
CENSUS_HHLD03_E_UNBAKEBRICK,Outerwall Of House: e_UnbakeBrick (Census 2021),"Source column e_UnbakeBrick from Hhld03_OuterwallOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld03_OuterwallOfHouse:e_UnbakeBrick
CENSUS_HHLD03_F_GALVSHEET,Outerwall Of House: f_GalvSheet (Census 2021),"Source column f_GalvSheet from Hhld03_OuterwallOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld03_OuterwallOfHouse:f_GalvSheet
CENSUS_HHLD03_G_PREFAB,Outerwall Of House: g_Prefab (Census 2021),"Source column g_Prefab from Hhld03_OuterwallOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld03_OuterwallOfHouse:g_Prefab
CENSUS_HHLD03_H_OTHER,Outerwall Of House: h_Other (Census 2021),"Source column h_Other from Hhld03_OuterwallOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld03_OuterwallOfHouse:h_Other
CENSUS_HHLD04_ROWTOTAL,Roof Of House: rowtotal (Census 2021),"Source column rowtotal from Hhld04_RoofOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld04_RoofOfHouse:rowtotal
CENSUS_HHLD04_A_GALVSHEET,Roof Of House: a_GalvSheet (Census 2021),"Source column a_GalvSheet from Hhld04_RoofOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld04_RoofOfHouse:a_GalvSheet
CENSUS_HHLD04_B_CEMENT,Roof Of House: b_Cement (Census 2021),"Source column b_Cement from Hhld04_RoofOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld04_RoofOfHouse:b_Cement
CENSUS_HHLD04_C_THATCH,Roof Of House: c_Thatch (Census 2021),"Source column c_Thatch from Hhld04_RoofOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld04_RoofOfHouse:c_Thatch
CENSUS_HHLD04_D_TILE,Roof Of House: d_Tile (Census 2021),"Source column d_Tile from Hhld04_RoofOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld04_RoofOfHouse:d_Tile
CENSUS_HHLD04_E_STONE,Roof Of House: e_Stone (Census 2021),"Source column e_Stone from Hhld04_RoofOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld04_RoofOfHouse:e_Stone
CENSUS_HHLD04_F_WOOD,Roof Of House: f_Wood (Census 2021),"Source column f_Wood from Hhld04_RoofOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld04_RoofOfHouse:f_Wood
CENSUS_HHLD04_G_MUD,Roof Of House: g_Mud (Census 2021),"Source column g_Mud from Hhld04_RoofOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld04_RoofOfHouse:g_Mud
CENSUS_HHLD04_H_OTHER,Roof Of House: h_Other (Census 2021),"Source column h_Other from Hhld04_RoofOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld04_RoofOfHouse:h_Other
CENSUS_HHLD07_ROWTOTAL,Households by cooking fuel (Census 2021),"Source column rowtotal from Hhld07_TypeOfCookingFuel.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld07_TypeOfCookingFuel:rowtotal
CENSUS_HHLD07_A_FIREWOOD,Cooking fuel: firewood (Census 2021),"Source column a_firewood from Hhld07_TypeOfCookingFuel.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld07_TypeOfCookingFuel:a_firewood
CENSUS_HHLD07_B_LPGAS,Cooking fuel: LP gas (Census 2021),"Source column b_LPGas from Hhld07_TypeOfCookingFuel.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld07_TypeOfCookingFuel:b_LPGas
CENSUS_HHLD07_C_ELECTRICITY,Cooking fuel: electricity (Census 2021),"Source column c_Electricity from Hhld07_TypeOfCookingFuel.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld07_TypeOfCookingFuel:c_Electricity
CENSUS_HHLD07_D_COWDUNG,Cooking fuel: cow dung (Census 2021),"Source column d_Cowdung from Hhld07_TypeOfCookingFuel.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld07_TypeOfCookingFuel:d_Cowdung
CENSUS_HHLD07_E_BIOGAS,Cooking fuel: biogas (Census 2021),"Source column e_BioGas from Hhld07_TypeOfCookingFuel.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld07_TypeOfCookingFuel:e_BioGas
CENSUS_HHLD07_F_KEROSENE,Cooking fuel: kerosene (Census 2021),"Source column f_Kerosene from Hhld07_TypeOfCookingFuel.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld07_TypeOfCookingFuel:f_Kerosene
CENSUS_HHLD07_G_OTHERS,Cooking fuel: other (Census 2021),"Source column g_Others from Hhld07_TypeOfCookingFuel.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld07_TypeOfCookingFuel:g_Others
CENSUS_HHLD08_ROWTOTAL,Source Of Lighting: rowtotal (Census 2021),"Source column rowtotal from Hhld08_SourceOfLighting.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld08_SourceOfLighting:rowtotal
CENSUS_HHLD08_A_ELECTRICITY,Source Of Lighting: a_Electricity (Census 2021),"Source column a_Electricity from Hhld08_SourceOfLighting.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld08_SourceOfLighting:a_Electricity
CENSUS_HHLD08_B_SOLAR,Source Of Lighting: b_Solar (Census 2021),"Source column b_Solar from Hhld08_SourceOfLighting.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld08_SourceOfLighting:b_Solar
CENSUS_HHLD08_C_KEROSENE,Source Of Lighting: c_Kerosene (Census 2021),"Source column c_Kerosene from Hhld08_SourceOfLighting.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld08_SourceOfLighting:c_Kerosene
CENSUS_HHLD08_D_BIOGAS,Source Of Lighting: d_BioGas (Census 2021),"Source column d_BioGas from Hhld08_SourceOfLighting.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld08_SourceOfLighting:d_BioGas
CENSUS_HHLD08_E_OTHERS,Source Of Lighting: e_Others (Census 2021),"Source column e_Others from Hhld08_SourceOfLighting.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld08_SourceOfLighting:e_Others
CENSUS_HHLD09_ROWTOTAL,Households by toilet type (Census 2021),"Source column rowtotal from Hhld09_TypeOfToiletUsed.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld09_TypeOfToiletUsed:rowtotal
CENSUS_HHLD09_A_FLUSHTOILET1,Toilet: flush toilet (a_FlushToilet1) (Census 2021),"Source column a_FlushToilet1 from Hhld09_TypeOfToiletUsed.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld09_TypeOfToiletUsed:a_FlushToilet1
CENSUS_HHLD09_B_FLUSHTOILET2,Toilet: flush toilet (b_FlushToilet2) (Census 2021),"Source column b_FlushToilet2 from Hhld09_TypeOfToiletUsed.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld09_TypeOfToiletUsed:b_FlushToilet2
CENSUS_HHLD09_C_ORDINARY,Toilet: ordinary (Census 2021),"Source column c_Ordinary from Hhld09_TypeOfToiletUsed.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld09_TypeOfToiletUsed:c_Ordinary
CENSUS_HHLD09_D_PUBLIC,Toilet: public (Census 2021),"Source column d_Public from Hhld09_TypeOfToiletUsed.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld09_TypeOfToiletUsed:d_Public
CENSUS_HHLD09_E_NOTOILET,Toilet: none (Census 2021),"Source column e_NoToilet from Hhld09_TypeOfToiletUsed.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld09_TypeOfToiletUsed:e_NoToilet
CENSUS_HHLD10_ROWTOTAL,Households by facilities owned (Census 2021),"Source column rowtotal from Hhld10_HouseholdFacility.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld10_HouseholdFacility:rowtotal
CENSUS_HHLD10_X_NOFACILITY,Facilities: none of the listed (Census 2021),"Source column x_NoFacility from Hhld10_HouseholdFacility.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld10_HouseholdFacility:x_NoFacility
CENSUS_HHLD10_ATLEASTONE,Facilities: at least one (Census 2021),"Source column atleastOne from Hhld10_HouseholdFacility.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld10_HouseholdFacility:atleastOne
CENSUS_HHLD10_A_RADIO,Facility: radio (Census 2021),"Source column a_Radio from Hhld10_HouseholdFacility.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld10_HouseholdFacility:a_Radio
CENSUS_HHLD10_B_TV,Facility: television (Census 2021),"Source column b_TV from Hhld10_HouseholdFacility.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld10_HouseholdFacility:b_TV
CENSUS_HHLD10_C_LANDLINEPHONE,Facility: landline phone (Census 2021),"Source column c_LandLinePhone from Hhld10_HouseholdFacility.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld10_HouseholdFacility:c_LandLinePhone
CENSUS_HHLD10_D_MOBILEPHONE1,Facility: mobile phone (d_MobilePhone1) (Census 2021),"Source column d_MobilePhone1 from Hhld10_HouseholdFacility.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld10_HouseholdFacility:d_MobilePhone1
CENSUS_HHLD10_E_MOBILEPHONE2,Facility: mobile phone (e_MobilePhone2) (Census 2021),"Source column e_MobilePhone2 from Hhld10_HouseholdFacility.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld10_HouseholdFacility:e_MobilePhone2
CENSUS_HHLD10_F_COMPUTER,Facility: computer (Census 2021),"Source column f_Computer from Hhld10_HouseholdFacility.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld10_HouseholdFacility:f_Computer
CENSUS_HHLD10_G_INTERNET,Facility: internet (Census 2021),"Source column g_Internet from Hhld10_HouseholdFacility.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld10_HouseholdFacility:g_Internet
CENSUS_HHLD10_H_CARJEEP,Facility: car or jeep (Census 2021),"Source column h_CarJeep from Hhld10_HouseholdFacility.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld10_HouseholdFacility:h_CarJeep
CENSUS_HHLD10_I_MOTORCYCLE,Facility: motorcycle (Census 2021),"Source column i_Motorcycle from Hhld10_HouseholdFacility.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld10_HouseholdFacility:i_Motorcycle
CENSUS_HHLD10_J_BICYCLE,Facility: bicycle (Census 2021),"Source column j_Bicycle from Hhld10_HouseholdFacility.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld10_HouseholdFacility:j_Bicycle
CENSUS_HHLD10_K_ELECTRICFAN,Facility: electric fan (Census 2021),"Source column k_ElectricFan from Hhld10_HouseholdFacility.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld10_HouseholdFacility:k_ElectricFan
CENSUS_HHLD10_L_REFRIGERATOR,Facility: refrigerator (Census 2021),"Source column l_Refrigerator from Hhld10_HouseholdFacility.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld10_HouseholdFacility:l_Refrigerator
CENSUS_HHLD10_M_WASHINGMACHINE,Facility: washing machine (Census 2021),"Source column m_WashingMachine from Hhld10_HouseholdFacility.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld10_HouseholdFacility:m_WashingMachine
CENSUS_HHLD10_N_AIRCONDITIONR,Facility: air conditioner (Census 2021),"Source column n_AirConditionr from Hhld10_HouseholdFacility.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld10_HouseholdFacility:n_AirConditionr
CENSUS_HHLD11_ROWTOTAL,Female Ownership Of Fixed Asset: rowtotal (Census 2021),"Source column rowtotal from Hhld11_FemaleOwnershipOfFixedAsset.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,population,Hhld11_FemaleOwnershipOfFixedAsset:rowtotal
CENSUS_HHLD11_A_HOUSEONLY,Female Ownership Of Fixed Asset: a_HouseOnly (Census 2021),"Source column a_HouseOnly from Hhld11_FemaleOwnershipOfFixedAsset.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,population,Hhld11_FemaleOwnershipOfFixedAsset:a_HouseOnly
CENSUS_HHLD11_B_LANDONLY,Female Ownership Of Fixed Asset: b_LandOnly (Census 2021),"Source column b_LandOnly from Hhld11_FemaleOwnershipOfFixedAsset.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,population,Hhld11_FemaleOwnershipOfFixedAsset:b_LandOnly
CENSUS_HHLD11_C_HOUSEANDLAND,Female Ownership Of Fixed Asset: c_HouseAndLand (Census 2021),"Source column c_HouseAndLand from Hhld11_FemaleOwnershipOfFixedAsset.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,population,Hhld11_FemaleOwnershipOfFixedAsset:c_HouseAndLand
CENSUS_HHLD11_D_NOOWNERSHIP,Female Ownership Of Fixed Asset: d_NoOwnership (Census 2021),"Source column d_NoOwnership from Hhld11_FemaleOwnershipOfFixedAsset.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,population,Hhld11_FemaleOwnershipOfFixedAsset:d_NoOwnership
CENSUS_HHLD11_E_NOTSTD,Female Ownership Of Fixed Asset: e_notstd (Census 2021),"Source column e_notstd from Hhld11_FemaleOwnershipOfFixedAsset.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,population,Hhld11_FemaleOwnershipOfFixedAsset:e_notstd
CENSUS_HHLD12_ROWTOTAL,Small Scale Business: rowtotal (Census 2021),"Source column rowtotal from Hhld12_SmallScaleBusiness.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,economy,Hhld12_SmallScaleBusiness:rowtotal
CENSUS_HHLD12_NOBUSINESS,Small Scale Business: NoBusiness (Census 2021),"Source column NoBusiness from Hhld12_SmallScaleBusiness.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,economy,Hhld12_SmallScaleBusiness:NoBusiness
CENSUS_HHLD12_A_COTTAGE_M,Small Scale Business: a_Cottage_m (Census 2021),"Source column a_Cottage_m from Hhld12_SmallScaleBusiness.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,economy,Hhld12_SmallScaleBusiness:a_Cottage_m
CENSUS_HHLD12_A_COTTAGE_F,Small Scale Business: a_Cottage_f (Census 2021),"Source column a_Cottage_f from Hhld12_SmallScaleBusiness.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,economy,Hhld12_SmallScaleBusiness:a_Cottage_f
CENSUS_HHLD12_B_TRADE_M,Small Scale Business: b_Trade_m (Census 2021),"Source column b_Trade_m from Hhld12_SmallScaleBusiness.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,economy,Hhld12_SmallScaleBusiness:b_Trade_m
CENSUS_HHLD12_B_TRADE_F,Small Scale Business: b_Trade_f (Census 2021),"Source column b_Trade_f from Hhld12_SmallScaleBusiness.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,economy,Hhld12_SmallScaleBusiness:b_Trade_f
CENSUS_HHLD12_C_TRANSPRT_M,Small Scale Business: c_Transprt_m (Census 2021),"Source column c_Transprt_m from Hhld12_SmallScaleBusiness.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,economy,Hhld12_SmallScaleBusiness:c_Transprt_m
CENSUS_HHLD12_C_TRANSPRT_F,Small Scale Business: c_Transprt_f (Census 2021),"Source column c_Transprt_f from Hhld12_SmallScaleBusiness.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,economy,Hhld12_SmallScaleBusiness:c_Transprt_f
CENSUS_HHLD12_D_SERVICE_M,Small Scale Business: d_Service_m (Census 2021),"Source column d_Service_m from Hhld12_SmallScaleBusiness.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,economy,Hhld12_SmallScaleBusiness:d_Service_m
CENSUS_HHLD12_D_SERVICE_F,Small Scale Business: d_Service_f (Census 2021),"Source column d_Service_f from Hhld12_SmallScaleBusiness.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,economy,Hhld12_SmallScaleBusiness:d_Service_f
CENSUS_HHLD12_E_OTHERS_M,Small Scale Business: e_Others_m (Census 2021),"Source column e_Others_m from Hhld12_SmallScaleBusiness.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,economy,Hhld12_SmallScaleBusiness:e_Others_m
CENSUS_HHLD12_E_OTHERS_F,Small Scale Business: e_Others_f (Census 2021),"Source column e_Others_f from Hhld12_SmallScaleBusiness.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,economy,Hhld12_SmallScaleBusiness:e_Others_f
CENSUS_HHLD12_NOTSTD,Small Scale Business: notstd (Census 2021),"Source column notstd from Hhld12_SmallScaleBusiness.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,economy,Hhld12_SmallScaleBusiness:notstd
CENSUS_HHLD13_TOTHHLD,Household Having Death: TotHhld (Census 2021),"Source column TotHhld from Hhld13_HouseholdHavingDeath.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld13_HouseholdHavingDeath:TotHhld
