code,name_en,definition_en,unit_code,topic,source_concept
CENSUS_INDV65_B_FINANCL,Population By Industry And Sector: b_financl (Census 2021),"Source column b_financl from Indv65_PopulationByIndustryAndSector.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv65_PopulationByIndustryAndSector:b_financl
CENSUS_INDV65_C_NFINANCL,Population By Industry And Sector: c_nfinancl (Census 2021),"Source column c_nfinancl from Indv65_PopulationByIndustryAndSector.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv65_PopulationByIndustryAndSector:c_nfinancl
CENSUS_INDV65_D_NPROFIT,Population By Industry And Sector: d_nprofit (Census 2021),"Source column d_nprofit from Indv65_PopulationByIndustryAndSector.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv65_PopulationByIndustryAndSector:d_nprofit
CENSUS_INDV65_E_HHLDSECTR,Population By Industry And Sector: e_hhldsectr (Census 2021),"Source column e_hhldsectr from Indv65_PopulationByIndustryAndSector.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv65_PopulationByIndustryAndSector:e_hhldsectr
CENSUS_INDV65_F_NOTSTD,Population By Industry And Sector: f_notstd (Census 2021),"Source column f_notstd from Indv65_PopulationByIndustryAndSector.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv65_PopulationByIndustryAndSector:f_notstd
CENSUS_INDV66_ROWTOTAL,Population By Reason: rowtotal (Census 2021),"Source column rowtotal from Indv66_PopulationByReason.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,population,Indv66_PopulationByReason:rowtotal
CENSUS_INDV66_A_STUDENT,Population By Reason: a_student (Census 2021),"Source column a_student from Indv66_PopulationByReason.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,population,Indv66_PopulationByReason:a_student
CENSUS_INDV66_B_HHLDWORK,Population By Reason: b_hhldwork (Census 2021),"Source column b_hhldwork from Indv66_PopulationByReason.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,population,Indv66_PopulationByReason:b_hhldwork
CENSUS_INDV66_C_HHLDCHORE,Population By Reason: c_hhldchore (Census 2021),"Source column c_hhldchore from Indv66_PopulationByReason.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,population,Indv66_PopulationByReason:c_hhldchore
CENSUS_INDV66_D_AGED,Population By Reason: d_aged (Census 2021),"Source column d_aged from Indv66_PopulationByReason.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,population,Indv66_PopulationByReason:d_aged
CENSUS_INDV66_E_DISABLE,Population By Reason: e_disable (Census 2021),"Source column e_disable from Indv66_PopulationByReason.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,population,Indv66_PopulationByReason:e_disable
CENSUS_INDV66_F_PENSION,Population By Reason: f_pension (Census 2021),"Source column f_pension from Indv66_PopulationByReason.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,population,Indv66_PopulationByReason:f_pension
CENSUS_INDV66_G_SOCLWORK,Population By Reason: g_soclwork (Census 2021),"Source column g_soclwork from Indv66_PopulationByReason.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,population,Indv66_PopulationByReason:g_soclwork
CENSUS_INDV66_H_OTHER,Population By Reason: h_other (Census 2021),"Source column h_other from Indv66_PopulationByReason.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,population,Indv66_PopulationByReason:h_other
CENSUS_INDV66_I_NOTSTD,Population By Reason: i_notstd (Census 2021),"Source column i_notstd from Indv66_PopulationByReason.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,population,Indv66_PopulationByReason:i_notstd
