code,wdi_code,name_wb,topic,unit_code,wb_topic,latest_year,latest_value
TX_VAL_MRCH_OR_ZS,TX.VAL.MRCH.OR.ZS,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),economy,PCT,Private Sector,2023,2.56540961863563
TX_VAL_MRCH_R1_ZS,TX.VAL.MRCH.R1.ZS,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),economy,PCT,Private Sector,2023,1.46644663514036
TX_VAL_MRCH_R2_ZS,TX.VAL.MRCH.R2.ZS,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),economy,PCT,Private Sector,2023,0.921855648336959
TX_VAL_MRCH_R3_ZS,TX.VAL.MRCH.R3.ZS,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),economy,PCT,Private Sector,2023,0.0258332801405682
TX_VAL_MRCH_R4_ZS,TX.VAL.MRCH.R4.ZS,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),economy,PCT,Private Sector,2023,0.0167394806167737
TX_VAL_MRCH_R5_ZS,TX.VAL.MRCH.R5.ZS,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),economy,PCT,Private Sector,2023,70.535324163294
TX_VAL_MRCH_R6_ZS,TX.VAL.MRCH.R6.ZS,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),economy,PCT,Private Sector,2023,0.13453457440097
TX_VAL_MRCH_RS_ZS,TX.VAL.MRCH.RS.ZS,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",economy,PCT,Private Sector,2023,0.00105023364924681
TX_VAL_MRCH_WL_CD,TX.VAL.MRCH.WL.CD,Merchandise exports by the reporting economy (current US$),economy,USD,Private Sector,2023,1207636035.0
TX_VAL_MRCH_WR_ZS,TX.VAL.MRCH.WR.ZS,Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),economy,PCT,Private Sector,2023,70.535324163294
TX_VAL_MRCH_XD_WD,TX.VAL.MRCH.XD.WD,Export value index (2015 = 100),economy,INDEX,Private Sector,2024,185.2
TX_VAL_OTHR_ZS_WT,TX.VAL.OTHR.ZS.WT,"Computer, communications and other services (% of commercial service exports)",economy,PCT,Private Sector,2024,45.8104556339714
TX_VAL_SERV_CD_WT,TX.VAL.SERV.CD.WT,Commercial service exports (current US$),economy,USD,Private Sector,2024,1653796856.40168
TX_VAL_TECH_CD,TX.VAL.TECH.CD,High-technology exports (current US$),economy,USD,Private Sector,2022,3815787.0
TX_VAL_TECH_MF_ZS,TX.VAL.TECH.MF.ZS,High-technology exports (% of manufactured exports),economy,PCT,Private Sector,2022,0.617520704475872
TX_VAL_TRAN_ZS_WT,TX.VAL.TRAN.ZS.WT,Transport services (% of commercial service exports),economy,PCT,Private Sector,2024,15.1622785441224
TX_VAL_TRVL_ZS_WT,TX.VAL.TRVL.ZS.WT,Travel services (% of commercial service exports),economy,PCT,Private Sector,2024,38.1492074120034
VC_BTL_DETH,VC.BTL.DETH,Battle-related deaths (number of people),economy,COUNT,Public Sector,2006,457.0
VC_IDP_NWCV,VC.IDP.NWCV,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",economy,COUNT,Public Sector,2017,2.0
VC_IDP_NWDS,VC.IDP.NWDS,"Internally displaced persons, new displacement associated with disasters (number of cases)",economy,COUNT,Public Sector,2023,110000.0
VC_IHR_PSRC_P5,VC.IHR.PSRC.P5,"Intentional homicides (per 100,000 people)",economy,PER_100K,Public Sector,2020,2.13004129984372
HD_HCIP_EDUC_FE,HD_HCIP_EDUC_FE,"Human capital index plus (HCI+): education pillar score, female (scale 0–188)",education,INDEX,,2025,80.8345780884669
HD_HCIP_EDUC_MA,HD_HCIP_EDUC_MA,"Human capital index plus (HCI+): education pillar score, male (scale 0–188)",education,INDEX,,2025,84.866925554842
HD_HCIP_EDUC_TO,HD_HCIP_EDUC_TO,"Human capital index plus (HCI+): education pillar score, total (scale 0–188)",education,INDEX,,2025,82.6693919998016
SE_ADT_1524_LT_FE_ZS,SE.ADT.1524.LT.FE.ZS,"Literacy rate, youth female (% of females ages 15-24)",education,PCT,Education,2019,92.0699996948242
SE_ADT_1524_LT_FM_ZS,SE.ADT.1524.LT.FM.ZS,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",education,INDEX,Education,2019,0.949999988079071
SE_ADT_1524_LT_MA_ZS,SE.ADT.1524.LT.MA.ZS,"Literacy rate, youth male (% of males ages 15-24)",education,PCT,Education,2019,96.8099975585938
SE_ADT_1524_LT_ZS,SE.ADT.1524.LT.ZS,"Literacy rate, youth total (% of people ages 15-24)",education,PCT,Education,2019,94.2399978637695
SE_ADT_LITR_MA_ZS,SE.ADT.LITR.MA.ZS,"Literacy rate, adult male (% of males ages 15 and above)",education,PCT,Education,2019,79.75
SE_COM_DURS,SE.COM.DURS,"Compulsory education, duration (years)",education,YEARS,Education,2025,9.0
SE_ENR_PRIM_FM_ZS,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",education,INDEX,Education,2022,0.923407137393951
SE_ENR_SECO_FM_ZS,SE.ENR.SECO.FM.ZS,"School enrollment, secondary (gross), gender parity index (GPI)",education,INDEX,Education,2022,0.987173140048981
SE_ENR_TERT_FM_ZS,SE.ENR.TERT.FM.ZS,"School enrollment, tertiary (gross), gender parity index (GPI)",education,INDEX,Education,2024,1.217880072339
SE_PRE_DURS,SE.PRE.DURS,"Preprimary education, duration (years)",education,YEARS,Education,2025,2.0
SE_PRE_ENRL_TC_ZS,SE.PRE.ENRL.TC.ZS,"Pupil-teacher ratio, preprimary",education,RATIO,Education,2019,18.60802
SE_PRE_ENRR,SE.PRE.ENRR,"School enrollment, preprimary (% gross)",education,PCT,Education,2022,93.6980285644531
SE_PRE_ENRR_FE,SE.PRE.ENRR.FE,"School enrollment, preprimary, female (% gross)",education,PCT,Education,2022,88.079833984375
SE_PRE_ENRR_MA,SE.PRE.ENRR.MA,"School enrollment, preprimary, male (% gross)",education,PCT,Education,2022,99.1186676025391
SE_PRE_TCAQ_FE_ZS,SE.PRE.TCAQ.FE.ZS,"Trained teachers in preprimary education, female (% of female teachers)",education,PCT,Education,2025,37.1057346048751
SE_PRE_TCAQ_MA_ZS,SE.PRE.TCAQ.MA.ZS,"Trained teachers in preprimary education, male (% of male teachers)",education,PCT,Education,2025,65.3939393939394
SE_PRE_TCAQ_ZS,SE.PRE.TCAQ.ZS,Trained teachers in preprimary education (% of total teachers),education,PCT,Education,2025,37.9258842754476
SE_PRM_AGES,SE.PRM.AGES,Primary school starting age (years),education,YEARS,Education,2025,5.0
SE_PRM_CMPT_FE_ZS,SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)",education,PCT,Education,2025,108.865183274843
SE_PRM_CMPT_MA_ZS,SE.PRM.CMPT.MA.ZS,"Primary completion rate, male (% of relevant age group)",education,PCT,Education,2025,109.964875498618
SE_PRM_CUAT_FE_ZS,SE.PRM.CUAT.FE.ZS,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",education,PCT,Education,2021,36.4118003845215
SE_PRM_CUAT_MA_ZS,SE.PRM.CUAT.MA.ZS,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",education,PCT,Education,2021,58.9935607910156
SE_PRM_CUAT_ZS,SE.PRM.CUAT.ZS,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",education,PCT,Education,2021,46.3495292663574
SE_PRM_DURS,SE.PRM.DURS,"Primary education, duration (years)",education,YEARS,Education,2025,5.0
SE_PRM_ENRL,SE.PRM.ENRL,"Primary education, pupils",education,COUNT,Education,2025,3565348.0
SE_PRM_ENRL_FE_ZS,SE.PRM.ENRL.FE.ZS,"Primary education, pupils (% female)",education,PCT,Education,2019,50.61224
