content_id,category,title_ne,title_en,published_date_raw,bs_date_guess,pdf_url,sha256,retrieved_at
257,redbook,व्यय अनुमानको विवरण २०७६/७७,,"जेठ १४, २०७६, बुधबार ०:०",2076-02-14,https://giwmscdnone.gov.np/media/pdf_upload/%E0%A4%AC%E0%A5%8D%E0%A4%AF%E0%A4%AF%20%E0%A4%85%E0%A4%A8%E0%A5%81%E0%A4%AE%E0%A4%BE%E0%A4%A8%E0%A4%95%E0%A5%8B%20%E0%A4%B5%E0%A4%BF%E0%A4%B5%E0%A4%B0%E0%A4%A3%20%E0%A5%A8%E0%A5%A6%E0%A5%AD%E0%A5%AC_20190603123023_4qfchpf.pdf,5bacb9ce277e0dd94e211dbaa37a148c7f4a6be64a179d2ca83e7606bef667bd,2026-09-03T16:49:01.279912+00:00
259,redbook,व्यय अनुमानको विवरण २०७४/७५,,"जेठ १४, २०७४, सोमबार ०:०",2074-02-14,https://giwmscdnone.gov.np/media/pdf_upload/Red%20Book%20Central%202074-75_20170530083940_00lqgwe.pdf,2112bc6b01bf9fb41ac2c12e5200d0172a61f316f92de56d88d08aa470a3287e,2026-09-03T16:49:06.386114+00:00
262,redbook,व्यय अनुमानको विवरण २०७१/७२,,"असोज १४, २०७१, बुधबार ०:०",2071-06-14,https://giwmscdnone.gov.np/media/pdf_upload/%E0%A4%B5%E0%A5%8D%E0%A4%AF%E0%A4%AF%20%E0%A4%85%E0%A4%A8%E0%A5%81%E0%A4%AE%E0%A4%BE%E0%A4%A8%E0%A4%95%E0%A5%8B%20%E0%A4%B5%E0%A4%BF%E0%A4%B5%E0%A4%B0%E0%A4%A3%20%E0%A5%A8%E0%A5%A6%E0%A5%AD%E0%A5%A7-%E0%A5%AD%E0%A5%A8_6d7mimy.pdf,8894d7163e5f46415ce0af27d96889b60b0b8cae1b1cdfc16d92d34567ed0429,2026-09-03T16:49:20.097851+00:00
263,redbook,व्यय अनुमानको विवरण २०७०/७१,,"असोज १४, २०७०, मंगलबार ०:०",2070-06-14,https://giwmscdnone.gov.np/media/pdf_upload/RB%202070-71_20140722052750_d5gsbhl.pdf,6dc6b5e4c6130670eb2c0970e71af7b7f855ef1f9b8667aad11c1e56cff2a3cf,2026-09-03T16:49:25.161208+00:00
264,redbook,व्यय अनुमानको विवरण २०६९/७०,,"असोज १४, २०६९, सोमबार ०:०",2069-06-14,https://giwmscdnone.gov.np/media/pdf_upload/RB%202069-70_20140722052658_wcqrs1s.pdf,c38df7450f4a1c384104ff0a69e394cba848558a635fe73a7a4d57a3a0836496,2026-09-03T16:49:29.504650+00:00
265,redbook,व्यय अनुमानको विवरण २०६८/६९,,"असोज १३, २०६८, शनिबार ०:०",2068-06-13,https://giwmscdnone.gov.np/media/pdf_upload/RB%202069-70_20140722052658_wxbli5d.pdf,c38df7450f4a1c384104ff0a69e394cba848558a635fe73a7a4d57a3a0836496,2026-09-03T16:49:33.755686+00:00
266,redbook,व्यय अनुमानको विवरण २०६७/६८,,"असोज १४, २०६७, शुक्रबार ०:०",2067-06-14,https://giwmscdnone.gov.np/media/pdf_upload/LI%202067-68_20140720071240_h6upkj4.pdf,a86c1f7a70ee8e5a633148de914d7be190e413be93f96f67a73f254ad7cc9897,2026-09-03T16:49:37.860687+00:00
273,redbook,"व्यय अनुमानको विवरण २०७८/७९, असोज",,"असार ७, २०७८, मंगलबार ०:०",2078-03-07,https://giwmscdnone.gov.np/media/pdf_upload/1636954126_Redbook_2078_79_Revised_5pfrbev.pdf,90ac0f03071dbb3235e9f3893ded96c03a4d4f8f92fa1d9b9ad011b82cabaa36,2026-09-03T16:48:49.944737+00:00
275,budget-speech,बजेट वक्तव्य २०७९/८०,,"माघ १, २०८१, मंगलबार १४:५",2081-10-01,https://giwmscdnone.gov.np/media/pdf_upload/%E0%A4%86.%E0%A4%B5.%20%E0%A5%A8%E0%A5%A6%E0%A5%AD%E0%A5%AF_%E0%A5%AE%E0%A5%A6%20%E0%A4%95%E0%A5%8B%20%E0%A4%AC%E0%A4%9C%E0%A5%87%E0%A4%9F%20%E0%A4%B5%E0%A4%95%E0%A5%8D%E0%A4%A4%E0%A4%B5%E0%A5%8D%E0%A4%AF_yc04dhm.pdf,e6e57f4ba880c8368a3db6c188ac53fcb1247b3245caf08c046ce4b5a307e8ce,2026-09-03T16:47:52.503141+00:00
276,budget-speech,बजेट वक्तव्य २०८०/८१,,"माघ १, २०८१, मंगलबार १४:६",2081-10-01,https://giwmscdnone.gov.np/media/pdf_upload/Budget_Sppech_2080-81_Final_ghwn8me.pdf,da994f7a31d9367e98886d7bab81672ef5c3945f74932594ce2efb74c8ccbaa3,2026-09-03T16:47:49.807857+00:00
